,Адрес,Количество комнат,Площадь,Этаж,Срок экспозиции,Начальная цена,Начальная цена за 1 метр,Цена при снятии,Цена при снятии за 1 метр,Опубликовано,Дата снятия
0,test,test,test ,test, test  ,test,test,test,test,test,test
346,"пер. Электрозаводский 1-й, д. 4",3,78,15, 118 ,17500000,224359,16500000,211539,27.05.2015,21.09.2015
347,"пер. Электрозаводский 1-й, д. 4",1,40,2, 128 ,7100000,177500,6700000,167500,13.05.2015,17.09.2015
348,"пер. Электрозаводский 1-й, д. 4",2,58,5, 128 ,10300000,177587,13200000,227587,13.05.2015,17.09.2015
349,"пер. Электрозаводский 1-й, д. 4",1,65,5, 32 ,21000000,323077,21000000,323077,03.08.2015,03.09.2015
350,"пер. Электрозаводский 1-й, д. 4",1,39,2, 274 ,8000000,205129,8900000,228206,27.11.2014,27.08.2015
351,"пер. Электрозаводский 1-й, д. 4",3,77,4, 120 ,21000000,272728,21000000,272728,28.04.2015,25.08.2015
352,"пер. Электрозаводский 1-й, д. 4",2,65,15, 120 ,16000000,246154,16000000,246154,28.04.2015,25.08.2015
353,"пер. Электрозаводский 1-й, д. 4",3,82,8, 31 ,21000000,256098,21000000,256098,02.07.2015,01.08.2015
354,"пер. Электрозаводский 1-й, д. 4",3,80,5, 169 ,19000000,237500,19000000,237500,14.02.2015,01.08.2015
355,"пер. Электрозаводский 1-й, д. 4",2,58,5, 16 ,14000000,241380,12500000,215518,27.05.2015,11.06.2015
356,"пер. Электрозаводский 1-й, д. 4",2,58,5, 156 ,16400000,282759,16400000,282759,27.11.2014,01.05.2015
357,"пер. Электрозаводский 1-й, д. 4",2,50,5, 10 ,10900000,218000,10900000,218000,13.04.2015,22.04.2015
358,"пер. Электрозаводский 1-й, д. 4",2,45,5, 34 ,11800000,262223,10900000,242223,13.03.2015,15.04.2015
359,"пер. Электрозаводский 1-й, д. 4",3,60,1, 120 ,22900000,381667,22900000,381667,27.11.2014,26.03.2015
360,"пер. Электрозаводский 1-й, д. 4",3,"82,4",14, 66 ,22500000,273059,22500000,273059,27.11.2014,31.01.2015
361,"ул. Аэропортовская 1-я, д. 6",1,38,1, 76 ,7500000,197343,7500000,197343,10.10.2019,24.12.2019
