,Адрес,Год постройки,Город,Количество жилых помещений,Количество лифтов,"Количество мусоропроводов, ед.",Количество подъездов,Количество этажей,Материал несущих стен,Площадь зем. участка общего имущества м2,Площадь нежилых помещений м2,Площадь парковки м2,Спортивная площадка,Тип мусоропровода
7554,"ул. Дзержинского, д. 7",1952,Сланцы,не указано,не указано,не указано,2,2,Кирпич,1 900.00,0.00,не указано,не указано,не указано
7555,"ул. Дзержинского, д. 8",1953,Сланцы,14,не указано,не указано,3,2,Кирпич,1 109.60,0.00,0.00,Не имеется,Отсутствует
7556,"ул. Дзержинского, д. 9",1952,Сланцы,не указано,не указано,не указано,1,2,Кирпич,1 482.20,0.00,не указано,не указано,не указано
7557,"ул. Дзержинского, д. 10",1954,Сланцы,18,не указано,не указано,3,2,Кирпич,2 231.00,0.00,0.00,Не имеется,Отсутствует
7558,"ул. Дзержинского, д. 11",1952,Сланцы,не указано,не указано,не указано,2,2,Кирпич,1 629.70,0.00,не указано,не указано,не указано
7559,"ул. Дзержинского, д. 11а",1957,Сланцы,4,не указано,не указано,1,2,Кирпич,1 605.82,0.00,1 348.06,Не имеется,не указано
7560,"ул. Дзержинского, д. 12",1954,Сланцы,12,не указано,не указано,2,2,Кирпич,2 080.00,0.00,0.00,Не имеется,Отсутствует
7561,"ул. Дзержинского, д. 13",1952,Сланцы,не указано,не указано,не указано,1,2,Кирпич,1 460.20,0.00,не указано,не указано,не указано
7562,"ул. Дзержинского, д. 14",1955,Сланцы,8,не указано,не указано,1,2,Кирпич,1 170.00,0.00,0.00,Не имеется,Отсутствует
7563,"ул. Дзержинского, д. 15",1953,Сланцы,не указано,не указано,не указано,3,2,Кирпич,2 916.30,0.00,не указано,не указано,не указано
7564,"ул. Дзержинского, д. 16",1954,Сланцы,12,не указано,не указано,2,2,Кирпич,3 041.20,0.00,не указано,Не имеется,Отсутствует
7565,"ул. Дзержинского, д. 16а",1954,Сланцы,8,не указано,не указано,1,2,Кирпич,646.30,0.00,0.00,Не имеется,Отсутствует
7566,"ул. Дзержинского, д. 18",1954,Сланцы,16,не указано,не указано,3,2,Кирпич,2 437.20,187.25,0.00,Не имеется,Отсутствует
7567,"ул. Дзержинского, д. 19",1955,Сланцы,не указано,не указано,не указано,2,2,Кирпич,2 639.50,0.00,не указано,не указано,не указано
7568,"ул. Дзержинского, д. 23",1959,Сланцы,33,не указано,не указано,4,3,Кирпич,4 103.00,0.00,0.00,Не имеется,Отсутствует
7569,"ул. Дзержинского, д. 26",1955,Сланцы,не указано,не указано,не указано,2,2,Кирпич,1 796.47,0.00,не указано,не указано,не указано
7570,"ул. Дзержинского, д. 28",1951,Сланцы,9,не указано,не указано,2,2,Кирпич,1 646.00,0.00,0.00,Не имеется,Отсутствует
7571,"ул. Дзержинского, д. 30",1951,Сланцы,не указано,не указано,не указано,2,2,Кирпич,1 603.00,0.00,не указано,не указано,не указано
7572,"ул. Дзержинского, д. 32",1951,Сланцы,8,не указано,не указано,2,2,Кирпич,1 716.40,0.00,0.00,Не имеется,Отсутствует
7573,"ул. Док, д. 7-в",1967,Сланцы,8,не указано,не указано,1,2,Кирпич,993.00,0.00,0.00,Не имеется,Отсутствует
7574,"ул. Док, д. 7-г",1968,Сланцы,8,не указано,не указано,1,2,Кирпич,943.00,0.00,0.00,Не имеется,Отсутствует
7575,"ул. Док, д. 7б",1967,Сланцы,8,не указано,не указано,1,2,Кирпич,993.00,0.00,0.00,Не имеется,Отсутствует
7576,"ул. Жуковского, д. 3",1956,Сланцы,33,не указано,не указано,4,3,Кирпич,3 950.34,0.00,0.00,Не имеется,Отсутствует
7577,"ул. Жуковского, д. 3а",1960,Сланцы,36,не указано,не указано,3,3,Кирпич,1 977.97,0.00,не указано,Не имеется,Отсутствует
7578,"ул. Жуковского, д. 6",1961,Сланцы,не указано,не указано,не указано,3,4,Кирпич,2 343.00,516.48,не указано,не указано,не указано
7579,"ул. Жуковского, д. 6а",1962,Сланцы,не указано,не указано,не указано,3,4,Кирпич,4 202.58,0.00,не указано,не указано,не указано
7580,"ул. Жуковского, д. 6б",1962,Сланцы,не указано,не указано,не указано,3,4,Кирпич,4 430.25,509.10,не указано,не указано,не указано
7581,"ул. Жуковского, д. 7б",1960,Сланцы,36,не указано,не указано,3,3,Кирпич,1 241.00,0.00,0.00,Не имеется,Отсутствует
7582,"ул. Жуковского, д. 7",1958,Сланцы,33,не указано,не указано,4,3,Кирпич,3 245.00,0.00,0.00,Не имеется,Отсутствует
7583,"ул. Жуковского, д. 7а",1957,Сланцы,12,не указано,не указано,2,2,Кирпич,1 968.40,0.00,не указано,Не имеется,Отсутствует
7584,"ул. Жуковского, д. 9",1957,Сланцы,30,не указано,не указано,4,3,Кирпич,2 475.00,153.20,0.00,Не имеется,Отсутствует
7585,"ул. Жуковского, д. 10",1967,Сланцы,64,не указано,не указано,4,5,Кирпич,3 093.80,651.00,0.00,Не имеется,Отсутствует
7586,"ул. Жуковского, д. 13а",1957,Сланцы,не указано,не указано,не указано,3,2,Кирпич,9 535.60,0.00,не указано,не указано,не указано
7587,"ул. Жуковского, д. 15",1960,Сланцы,24,не указано,не указано,2,3,Кирпич,1 318.63,0.00,0.00,Не имеется,Отсутствует
7588,"ул. Жуковского, д. 17",1960,Сланцы,24,не указано,не указано,2,3,Кирпич,2 703.00,0.00,0.00,Не имеется,Отсутствует
7589,"ул. Жуковского, д. 17а",1957,Сланцы,18,не указано,не указано,3,2,Кирпич,656.90,0.00,0.00,Не имеется,Отсутствует
7590,"ул. Жуковского, д. 19",1956,Сланцы,6,не указано,не указано,2,2,Кирпич,4 584.37,0.00,не указано,Не имеется,Отсутствует
7591,"ул. Жуковского, д. 21",1961,Сланцы,24,не указано,не указано,2,3,Кирпич,1 343.83,0.00,не указано,Не имеется,Отсутствует
7592,"ул. Жуковского, д. 23",1961,Сланцы,24,не указано,не указано,2,3,Кирпич,1 412.50,0.00,969.10,Не имеется,Отсутствует
7593,"ул. Жуковского, д. 29",1967,Сланцы,48,не указано,не указано,3,4,Кирпич,3 205.00,0.00,0.00,Не имеется,Отсутствует
7594,"ул. Жуковского, д. 31",1967,Сланцы,48,не указано,не указано,3,4,Кирпич,3 956.25,0.00,не указано,Не имеется,Отсутствует
7595,"ул. Кирова, д. 1/12",1966,Сланцы,64,не указано,не указано,4,5,Кирпич,3 759.00,997.60,0.00,Не имеется,Отсутствует
7596,"ул. Кирова, д. 7",1985,Сланцы,119,не указано,не указано,10,5,Кирпич,7 151.00,1 139.80,0.00,Не имеется,Отсутствует
7597,"ул. Кирова, д. 12",1979,Сланцы,133,не указано,не указано,10,5,Кирпич,8 273.62,133.00,0.00,Не имеется,Отсутствует
7598,"ул. Кирова, д. 12а",1977,Сланцы,80,не указано,не указано,6,5,Кирпич,9 050.90,1 671.02,0.00,Не имеется,Отсутствует
7599,"ул. Кирова, д. 12б",1978,Сланцы,60,не указано,не указано,4,5,Панельные,12 936.00,1 224.00,0.00,Не имеется,Отсутствует
7600,"ул. Кирова, д. 13",1960,Сланцы,16,не указано,не указано,3,2,Кирпич,2 549.00,116.60,0.00,Не имеется,Отсутствует
7601,"ул. Кирова, д. 14",1972,Сланцы,80,не указано,не указано,5,5,Кирпич,6 197.80,1 564.00,0.00,Не имеется,Отсутствует
7602,"ул. Кирова, д. 14а",1980,Сланцы,90,не указано,не указано,6,5,Панельные,10 296.00,1 822.56,0.00,Не имеется,Отсутствует
7603,"ул. Кирова, д. 15",1964,Сланцы,31,не указано,не указано,2,4,Кирпич,648.00,46.70,0.00,Не имеется,Отсутствует
7604,"ул. Кирова, д. 16а",1982,Сланцы,120,не указано,не указано,8,5,Панельные,4 023.00,0.00,150.00,Не имеется,Отсутствует
7605,"ул. Кирова, д. 17",1961,Сланцы,21,не указано,не указано,2,3,Кирпич,2 222.20,131.90,0.00,Не имеется,Отсутствует
