,Адрес,Год постройки,Город,Количество жилых помещений,Количество лифтов,"Количество мусоропроводов, ед.",Количество подъездов,Количество этажей,Материал несущих стен,Площадь зем. участка общего имущества м2,Площадь нежилых помещений м2,Площадь парковки м2,Спортивная площадка,Тип мусоропровода
1777,"ш. Ленинградское, д. 3",1952,Выборг,не указано,не указано,не указано,3,5,Кирпич,0.00,269.05,не указано,не указано,не указано
1778,"ш. Ленинградское, д. 10",1958,Выборг,23,не указано,не указано,4,5,Кирпич,2 535.35,283.00,55.00,Не имеется,Отсутствует
1779,"ш. Ленинградское, д. 10а",1962,Выборг,не указано,не указано,не указано,1,2,Кирпич,0.00,0.00,не указано,не указано,не указано
1780,"ш. Ленинградское, д. 11",1940,Выборг,не указано,4,не указано,4,6,Кирпич,0.00,1 021.53,не указано,не указано,не указано
1781,"ш. Ленинградское, д. 12",1955,Выборг,40,2,не указано,3,5,Кирпич,1 797.90,519.70,65.20,Не имеется,Отсутствует
1782,"ш. Ленинградское, д. 15",1940,Выборг,не указано,2,не указано,5,6,Кирпич,0.00,1 136.86,не указано,не указано,не указано
1783,"ш. Ленинградское, д. 16",1940,Выборг,не указано,не указано,не указано,3,4,Кирпич,0.00,365.88,не указано,не указано,не указано
1784,"ш. Ленинградское, д. 18",1968,Выборг,не указано,не указано,не указано,2,4,Кирпич,0.00,31.36,не указано,не указано,не указано
1785,"ш. Ленинградское, д. 20",1960,Выборг,не указано,не указано,не указано,4,5,Кирпич,0.00,0.00,не указано,не указано,не указано
1786,"ш. Ленинградское, д. 21а",1993,Выборг,не указано,не указано,не указано,4,6,Кирпич,1 900.00,3 208.00,не указано,не указано,не указано
1787,"ш. Ленинградское, д. 21",1965,Выборг,не указано,не указано,не указано,1,2,Кирпич,0.00,0.00,не указано,не указано,не указано
1788,"ш. Ленинградское, д. 25",1964,Выборг,не указано,не указано,не указано,3,5,Кирпич,0.00,494.11,не указано,не указано,не указано
1789,"ш. Ленинградское, д. 27",1984,Выборг,не указано,не указано,не указано,3,5,Кирпич,0.00,0.00,не указано,не указано,не указано
1790,"ш. Ленинградское, д. 28",1940,Выборг,не указано,не указано,не указано,3,4,Кирпич,0.00,364.30,не указано,не указано,не указано
1791,"ш. Ленинградское, д. 28б",1996,Выборг,не указано,не указано,не указано,2,6,Кирпич,0.00,77.50,не указано,не указано,не указано
1792,"ш. Ленинградское, д. 29",1964,Выборг,не указано,не указано,не указано,3,5,Кирпич,0.00,26.27,не указано,не указано,не указано
1793,"ш. Ленинградское, д. 30",1964,Выборг,не указано,не указано,не указано,9,5,Панельные,0.00,0.00,не указано,не указано,не указано
1794,"ш. Ленинградское, д. 31",1964,Выборг,не указано,не указано,не указано,3,5,Кирпич,0.00,1 008.82,не указано,не указано,не указано
1795,"ш. Ленинградское, д. 32",1964,Выборг,не указано,не указано,не указано,6,5,Панельные,0.00,0.00,не указано,не указано,не указано
1796,"ш. Ленинградское, д. 33",1968,Выборг,не указано,2,не указано,1,12,Кирпич,10 763.00,629.31,не указано,не указано,не указано
1797,"ш. Ленинградское, д. 34",1965,Выборг,не указано,не указано,не указано,6,5,Панельные,0.00,0.00,не указано,не указано,не указано
1798,"ш. Ленинградское, д. 35",1979,Выборг,88,не указано,не указано,6,5,Панельные,0.00,0.00,не указано,Не имеется,не указано
1799,"ш. Ленинградское, д. 37",1973,Выборг,114,не указано,не указано,8,5,Панельные,4 404.10,27.18,0.00,Не имеется,Отсутствует
1800,"ш. Ленинградское, д. 39",1990,Выборг,63,2,2,2,9,Кирпич,4 193.00,160.80,0.00,Не имеется,На лестничной клетке
1801,"ш. Ленинградское, д. 41А",1983,Выборг,не указано,не указано,не указано,4,5,Панельные,0.00,0.00,не указано,не указано,не указано
1802,"ш. Ленинградское, д. 41",1973,Выборг,114,не указано,не указано,8,5,Блочные,4 754.00,26.70,0.00,Не имеется,Отсутствует
1803,"ш. Ленинградское, д. 43а",1988,Выборг,60,не указано,не указано,4,5,Панельные,0.00,0.00,0.00,Не имеется,Отсутствует
1804,"ш. Ленинградское, д. 43",1984,Выборг,не указано,2,2,2,10,Кирпич,0.00,427.20,не указано,не указано,не указано
1805,"ш. Ленинградское, д. 45",1973,Выборг,114,не указано,не указано,8,5,Панельные,0.00,26.56,не указано,Не имеется,не указано
1806,"ш. Ленинградское, д. 45б",1981,Выборг,не указано,не указано,не указано,4,5,Панельные,0.00,0.00,не указано,не указано,не указано
1807,"ш. Ленинградское, д. 47",2013,Выборг,147,4,4,4,11,Кирпич,10 400.00,1 070.40,не указано,Не имеется,На лестничной клетке
1808,"ш. Ленинградское, д. 49б",1993,Выборг,не указано,не указано,3,3,6,Панельные,0.00,0.00,не указано,не указано,не указано
1809,"ш. Ленинградское, д. 49",1975,Выборг,117,не указано,не указано,8,5,Панельные,0.00,74.88,не указано,Не имеется,не указано
1810,"ш. Ленинградское, д. 51А",1994,Выборг,36,1,не указано,1,9,Панельные,319.00,0.00,150.00,Не имеется,На лестничной клетке
1811,"ш. Ленинградское, д. 51",1990,Выборг,не указано,не указано,не указано,5,5,Кирпич,0.00,0.00,не указано,не указано,не указано
1812,"ш. Ленинградское, д. 53",1981,Выборг,30,не указано,не указано,2,5,Панельные,2 510.90,0.00,0.00,Не имеется,Отсутствует
1813,"ш. Ленинградское, д. 53а",1981,Выборг,30,не указано,не указано,2,5,Кирпич,0.00,0.00,не указано,Не имеется,не указано
1814,"ш. Ленинградское, д. 53б",1981,Выборг,не указано,не указано,не указано,2,5,Кирпич,0.00,0.00,не указано,не указано,не указано
1815,"ш. Ленинградское, д. 59",2008,Выборг,247,6,не указано,5,13,Монолитные,не указано,1 907.80,не указано,Не имеется,Отсутствует
1816,"ул. Лесопильная, д. 8",1940,Выборг,не указано,не указано,не указано,2,2,Деревянные,0.00,260.00,не указано,не указано,не указано
1817,"ул. Ломаная, д. 13",1940,Выборг,не указано,не указано,не указано,2,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1818,"ул. Майорова, д. 1",1953,Выборг,не указано,не указано,не указано,4,4,Кирпич,0.00,350.80,не указано,не указано,не указано
1819,"ул. Майорова, д. 2",1940,Выборг,не указано,не указано,не указано,2,3,Кирпич,0.00,0.00,не указано,не указано,не указано
1820,"ул. Майорова, д. 4",1940,Выборг,не указано,не указано,не указано,2,3,Кирпич,0.00,0.00,не указано,не указано,не указано
1821,"ул. Малая Водяная, д. 9",1939,Выборг,не указано,не указано,не указано,1,2,Деревянные,0.00,0.00,не указано,не указано,не указано
1822,"ул. Малая Водяная, д. 11",1940,Выборг,не указано,не указано,не указано,2,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1823,"ул. Малая Водяная, д. 16",1966,Выборг,не указано,не указано,не указано,2,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1824,"ул. Малая Водяная, д. 17",1940,Выборг,не указано,не указано,не указано,1,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1825,"ул. Малая Гвардейская, д. 9",1940,Выборг,не указано,не указано,не указано,2,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1826,"ул. Малая Гвардейская, д. 10",1940,Выборг,не указано,не указано,не указано,1,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1827,"ул. Малая Гвардейская, д. 12",1940,Выборг,не указано,не указано,не указано,1,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1828,"ул. Малая Гвардейская, д. 20",1940,Выборг,не указано,не указано,не указано,1,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1829,"мкр. Калининский, ул. Малиновская, д. 8",1940,Выборг,не указано,не указано,не указано,1,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1830,"ул. Матвеевская, д. 5",1959,Выборг,не указано,не указано,не указано,1,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1831,"ул. Матвеевская, д. 6",1959,Выборг,не указано,не указано,не указано,1,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1832,"ул. Матвеевская, д. 7",1959,Выборг,не указано,не указано,не указано,1,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1833,"ул. Матвеевская, д. 9",1959,Выборг,не указано,не указано,не указано,1,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1834,"ул. Матвеевская, д. 11",1959,Выборг,не указано,не указано,не указано,1,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1835,"ул. Матвеевская, д. 13",1959,Выборг,не указано,не указано,не указано,1,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1836,"ул. Матвеевская, д. 15",1959,Выборг,не указано,не указано,не указано,1,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1837,"мкр. Калининский, ул. Мельничная, д. 1",1911,Выборг,не указано,не указано,не указано,1,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1838,"мкр. Калининский, ул. Мельничная, д. 5",1940,Выборг,не указано,не указано,не указано,1,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1839,"ул. Мира, д. 3",1940,Выборг,87,2,не указано,3,6,Кирпич,2 304.00,767.98,не указано,Не имеется,Отсутствует
1840,"ул. Мира, д. 4",1961,Выборг,не указано,не указано,не указано,4,5,Кирпич,0.00,302.24,не указано,не указано,не указано
1841,"ул. Мира, д. 7а",1940,Выборг,не указано,не указано,не указано,1,4,Кирпич,0.00,0.00,не указано,не указано,не указано
1842,"ул. Мира, д. 9",1940,Выборг,не указано,не указано,не указано,2,4,Кирпич,0.00,1 096.69,не указано,не указано,не указано
1843,"ул. Мира, д. 10",1951,Выборг,не указано,не указано,не указано,3,5,Кирпич,0.00,297.95,не указано,не указано,не указано
1844,"ул. Мира, д. 16",1957,Выборг,не указано,не указано,не указано,5,4,Кирпич,0.00,74.17,не указано,не указано,не указано
1845,"ул. Мира, д. 16а",1940,Выборг,не указано,не указано,не указано,1,2,Кирпич,0.00,0.00,не указано,не указано,не указано
1846,"ул. Мира, д. 17",1957,Выборг,не указано,не указано,не указано,4,3,Кирпич,0.00,73.03,не указано,не указано,не указано
1847,"ул. Мира, д. 18",2004,Выборг,35,не указано,3,3,5,Кирпич,859.50,1 855.80,400.00,Не имеется,На лестничной клетке
1848,"ул. Мира, д. 19",1964,Выборг,не указано,не указано,не указано,3,5,Кирпич,0.00,0.00,не указано,не указано,не указано
1849,"ул. Мира, д. 21",1965,Выборг,не указано,не указано,не указано,3,5,Кирпич,0.00,0.00,не указано,не указано,не указано
1850,"ул. Мира, д. 23",1966,Выборг,не указано,не указано,не указано,3,5,Кирпич,0.00,220.14,не указано,не указано,не указано
1851,"ул. Михайловская, д. 4",1959,Выборг,не указано,не указано,не указано,1,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1852,"ул. Михайловская, д. 8",1959,Выборг,не указано,не указано,не указано,1,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1853,"ул. Михайловская, д. 12",1956,Выборг,не указано,не указано,не указано,2,2,Деревянные,0.00,0.00,не указано,не указано,не указано
1854,"ул. Морская Набережная, д. 7",1940,Выборг,40,не указано,не указано,2,5,Кирпич,1 058.00,0.00,525.00,Не имеется,Отсутствует
1855,"ул. Морская Набережная, д. 24а",1940,Выборг,не указано,не указано,не указано,1,3,Кирпич,0.00,0.00,не указано,не указано,не указано
1856,"ул. Морская Набережная, д. 24",1940,Выборг,не указано,не указано,не указано,1,4,Кирпич,0.00,81.85,не указано,не указано,не указано
1857,"ул. Морская Набережная, д. 28",1962,Выборг,не указано,не указано,не указано,2,5,Кирпич,0.00,0.00,не указано,не указано,не указано
1858,"ул. Морская Набережная, д. 30",1940,Выборг,не указано,1,не указано,2,6,Кирпич,0.00,178.45,не указано,не указано,не указано
1859,"ул. Морская Набережная, д. 36",1947,Выборг,не указано,3,не указано,3,6,Кирпич,0.00,0.00,не указано,не указано,не указано
1860,"ул. Морская Набережная, д. 38",1940,Выборг,не указано,1,не указано,1,7,Кирпич,0.00,0.00,не указано,не указано,не указано
1861,"пр-кт. Московский, д. 1",1996,Выборг,не указано,1,не указано,1,8,Кирпич,814.00,644.00,не указано,не указано,не указано
1862,"пр-кт. Московский, д. 2",1977,Выборг,не указано,не указано,4,4,5,Кирпич,0.00,174.35,не указано,не указано,не указано
1863,"пр-кт. Московский, д. 3",1940,Выборг,не указано,1,не указано,1,7,Кирпич,0.00,282.24,не указано,не указано,не указано
1864,"пр-кт. Московский, д. 4",1981,Выборг,105,4,не указано,4,9,Кирпич,3 631.00,387.80,62.00,Не имеется,На лестничной клетке
1865,"пр-кт. Московский, д. 6",1940,Выборг,не указано,не указано,не указано,3,3,Кирпич,0.00,159.92,не указано,не указано,не указано
1866,"пр-кт. Московский, д. 7",1940,Выборг,не указано,2,не указано,2,7,Кирпич,0.00,42.44,не указано,не указано,не указано
1867,"пр-кт. Московский, д. 9",2008,Выборг,243,7,не указано,7,9,Монолитные,5 782.00,6 193.20,не указано,Не имеется,Отсутствует
1868,"пр-кт. Московский, д. 10",1934,Выборг,94,3,не указано,3,8,Смешанные,1 071.91,865.48,не указано,Не имеется,Отсутствует
1869,"пр-кт. Московский, д. 11",1965,Выборг,80,не указано,не указано,5,5,Кирпич,0.00,1 157.26,0.00,Не имеется,Отсутствует
1870,"пр-кт. Московский, д. 13",1964,Выборг,не указано,не указано,не указано,3,5,Кирпич,0.00,95.67,не указано,не указано,не указано
1871,"пр-кт. Московский, д. 14",1964,Выборг,не указано,не указано,не указано,5,5,Кирпич,0.00,1 261.24,не указано,не указано,не указано
1872,"пр-кт. Московский, д. 16",1964,Выборг,не указано,не указано,не указано,3,5,Кирпич,0.00,0.00,не указано,не указано,не указано
1873,"ул. Мостовой Переход, д. 2",1967,Выборг,не указано,не указано,не указано,1,1,Кирпич,0.00,0.00,не указано,не указано,не указано
1874,"ул. Некрасова, д. 1",1940,Выборг,не указано,не указано,не указано,1,2,Деревянные,0.00,168.09,не указано,не указано,не указано
1875,"ул. Некрасова, д. 3",1940,Выборг,не указано,не указано,не указано,3,3,Кирпич,0.00,0.00,не указано,не указано,не указано
1876,"ул. Некрасова, д. 6",1940,Выборг,не указано,не указано,не указано,1,2,Кирпич,0.00,46.92,не указано,не указано,не указано
1877,"ул. Некрасова, д. 7",1994,Выборг,не указано,не указано,не указано,2,3,Кирпич,0.00,377.10,не указано,не указано,не указано
1878,"ул. Некрасова, д. 8",1940,Выборг,не указано,не указано,не указано,1,3,Кирпич,0.00,38.31,не указано,не указано,не указано
1879,"ул. Некрасова, д. 9",1940,Выборг,не указано,не указано,не указано,1,4,Кирпич,0.00,0.00,не указано,не указано,не указано
1880,"ул. Некрасова, д. 10",1940,Выборг,не указано,не указано,не указано,2,5,Кирпич,0.00,0.00,не указано,не указано,не указано
1881,"ул. Некрасова, д. 11",2007,Выборг,61,не указано,не указано,6,6,Кирпич,0.00,4 060.55,0.00,Не имеется,Отсутствует
1882,"ул. Некрасова, д. 19",1960,Выборг,не указано,не указано,не указано,2,5,Кирпич,1 941.00,901.36,не указано,не указано,не указано
1883,"ул. Некрасова, д. 21",1961,Выборг,не указано,не указано,не указано,2,4,Кирпич,0.00,350.60,не указано,не указано,не указано
1884,"ул. Некрасова, д. 31",1940,Выборг,57,не указано,не указано,1,4,Кирпич,0.00,202.50,0.00,Не имеется,Отсутствует
1885,"ул. Новокарьерная, д. 5",1940,Выборг,не указано,не указано,не указано,2,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1886,"ул. Новокарьерная, д. 7",1940,Выборг,не указано,не указано,не указано,2,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1887,"ул. Новокарьерная, д. 9",1940,Выборг,не указано,не указано,не указано,2,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1888,"ул. Новокарьерная, д. 11",1940,Выборг,не указано,не указано,не указано,2,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1889,"ул. Новокарьерная, д. 13",1940,Выборг,не указано,не указано,не указано,2,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1890,"ул. Новокарьерная, д. 15",1940,Выборг,не указано,не указано,не указано,2,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1891,"ул. Новокарьерная, д. 17",1940,Выборг,не указано,не указано,не указано,2,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1892,"ул. Новокарьерная, д. 19",1963,Выборг,не указано,не указано,не указано,2,2,Деревянные,0.00,0.00,не указано,не указано,не указано
1893,"ул. Новопоселковая, д. 2",1963,Выборг,не указано,не указано,не указано,2,2,Кирпич,0.00,0.00,не указано,не указано,не указано
1894,"ул. Новопоселковая, д. 6",1940,Выборг,не указано,не указано,не указано,1,2,Деревянные,0.00,0.00,не указано,не указано,не указано
1895,"пер. Одесский, д. 3/4",1940,Выборг,не указано,не указано,не указано,5,2,Кирпич,0.00,53.40,не указано,не указано,не указано
1896,"ул. Окружная, д. 2",1960,Выборг,не указано,не указано,не указано,1,2,Деревянные,0.00,0.00,не указано,не указано,не указано
1897,"ул. Окружная, д. 12",1940,Выборг,не указано,не указано,не указано,1,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1898,"ул. Окружная, д. 16",1940,Выборг,не указано,не указано,не указано,1,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1899,"ул. Окружная, д. 20",1940,Выборг,не указано,не указано,не указано,1,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1900,"ул. Окружная, д. 22",1940,Выборг,не указано,не указано,не указано,1,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1901,"ул. Окружная, д. 23",1940,Выборг,не указано,не указано,не указано,3,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1902,"ул. Окружная, д. 24",1940,Выборг,не указано,не указано,не указано,2,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1903,"ул. Окружная, д. 28",1940,Выборг,не указано,не указано,не указано,2,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1904,"ул. Окружная, д. 39",1940,Выборг,не указано,не указано,не указано,3,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1905,"ул. Октябрьская, д. 9",1947,Выборг,не указано,не указано,не указано,3,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1906,"ул. Октябрьская, д. 24",1963,Выборг,не указано,не указано,не указано,1,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1907,"ул. Октябрьская, д. 26а",1940,Выборг,не указано,не указано,не указано,1,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1908,"ул. Октябрьская, д. 28",1940,Выборг,не указано,не указано,не указано,1,1,Иные,0.00,не указано,не указано,не указано,не указано
1909,"ул. Октябрьская, д. 30",1940,Выборг,не указано,не указано,не указано,2,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1910,"ул. Октябрьская, д. 32",1964,Выборг,не указано,не указано,не указано,1,2,Деревянные,0.00,0.00,не указано,не указано,не указано
1911,"ул. Октябрьская, д. 34",1940,Выборг,не указано,не указано,не указано,2,2,Деревянные,0.00,0.00,не указано,не указано,не указано
1912,"ул. Октябрьская, д. 37",1940,Выборг,не указано,не указано,не указано,1,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1913,"ул. Октябрьская, д. 41",1940,Выборг,не указано,не указано,не указано,2,2,Деревянные,0.00,0.00,не указано,не указано,не указано
1914,"ул. Октябрьская, д. 42",1940,Выборг,не указано,не указано,не указано,2,2,Деревянные,0.00,0.00,не указано,не указано,не указано
1915,"ул. Октябрьская, д. 48",1940,Выборг,не указано,не указано,не указано,2,2,Деревянные,0.00,0.00,не указано,не указано,не указано
1916,"ул. Октябрьская, д. 50",1940,Выборг,не указано,не указано,не указано,2,2,Деревянные,0.00,0.00,не указано,не указано,не указано
1917,"ул. Октябрьская, д. 54",1966,Выборг,не указано,не указано,не указано,2,2,Деревянные,0.00,0.00,не указано,не указано,не указано
1918,"ул. Октябрьская, д. 58",1968,Выборг,не указано,не указано,не указано,1,2,Деревянные,0.00,0.00,не указано,не указано,не указано
1919,"ул. Октябрьская, д. 68",1940,Выборг,не указано,не указано,не указано,1,1,Кирпич,0.00,0.00,не указано,не указано,не указано
1920,"ул. Октябрьская, д. 70",1959,Выборг,не указано,не указано,не указано,1,1,Кирпич,0.00,0.00,не указано,не указано,не указано
1921,"ул. Октябрьская, д. 72",1959,Выборг,не указано,не указано,не указано,1,1,Кирпич,0.00,0.00,не указано,не указано,не указано
1922,"ул. Орудийная, д. 1",1960,Выборг,не указано,не указано,не указано,1,1,Кирпич,0.00,0.00,не указано,не указано,не указано
1923,"ул. Орудийная, д. 3",1961,Выборг,не указано,не указано,не указано,1,1,Кирпич,0.00,0.00,не указано,не указано,не указано
1924,"ул. Орудийная, д. 5/8",1956,Выборг,не указано,не указано,не указано,1,1,Кирпич,0.00,0.00,не указано,не указано,не указано
1925,"ул. Орудийная, д. 8",1960,Выборг,не указано,не указано,не указано,1,1,Кирпич,0.00,0.00,не указано,не указано,не указано
1926,"ул. Орудийная, д. 10",1940,Выборг,не указано,не указано,не указано,1,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1927,"ул. Орудийная, д. 22",1958,Выборг,не указано,не указано,не указано,2,2,Деревянные,0.00,0.00,не указано,не указано,не указано
1928,"ул. Островная, д. 6",1940,Выборг,не указано,не указано,не указано,1,2,Кирпич,0.00,0.00,не указано,не указано,не указано
1929,"ул. Островная, д. 8",1940,Выборг,не указано,не указано,не указано,2,2,Кирпич,0.00,0.00,не указано,не указано,не указано
1930,"ул. Отдельная, д. 3",1940,Выборг,не указано,2,не указано,2,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1931,"ул. Офицерская, д. 4",1964,Выборг,не указано,не указано,не указано,4,5,Кирпич,0.00,185.80,не указано,не указано,не указано
1932,"ул. Офицерская, д. 8",1998,Выборг,не указано,3,не указано,3,7,Блочные,0.00,0.00,не указано,не указано,не указано
1933,"ул. Офицерская, д. 9",1940,Выборг,не указано,не указано,не указано,1,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1934,"ул. Офицерская, д. 10",2000,Выборг,не указано,не указано,не указано,3,5,Панельные,0.00,0.00,не указано,не указано,не указано
1935,"ул. Офицерская, д. 12",1993,Выборг,не указано,1,1,1,9,Блочные,0.00,285.10,не указано,не указано,не указано
1936,"ул. Офицерская, д. 13",1940,Выборг,не указано,не указано,не указано,3,2,Деревянные,0.00,0.00,не указано,не указано,не указано
1937,"ул. Офицерская, д. 14",1993,Выборг,не указано,1,1,1,9,Блочные,0.00,273.80,не указано,не указано,не указано
1938,"ул. Офицерская, д. 16",1993,Выборг,не указано,1,1,1,9,Блочные,0.00,0.00,не указано,не указано,не указано
1939,"ул. Первомайская, д. 2",1940,Выборг,не указано,1,не указано,1,6,Кирпич,0.00,302.22,не указано,не указано,не указано
1940,"ул. Первомайская, д. 5",1954,Выборг,не указано,не указано,не указано,1,3,Кирпич,0.00,0.00,не указано,не указано,не указано
1941,"ул. Первомайская, д. 6",1954,Выборг,не указано,не указано,не указано,2,3,Кирпич,0.00,224.31,не указано,не указано,не указано
1942,"ул. Первомайская, д. 7",1991,Выборг,не указано,не указано,не указано,3,6,Кирпич,0.00,498.80,не указано,не указано,не указано
1943,"ул. Первомайская, д. 8",1959,Выборг,не указано,не указано,не указано,2,5,Кирпич,0.00,0.00,не указано,не указано,не указано
1944,"ул. Первомайская, д. 10",1940,Выборг,не указано,не указано,не указано,2,4,Кирпич,0.00,248.70,не указано,не указано,не указано
1945,"ул. Первомайская, д. 13",1966,Выборг,не указано,1,1,1,9,Кирпич,0.00,49.96,не указано,не указано,не указано
1946,"ул. Песочная, д. 1",1940,Выборг,не указано,не указано,не указано,2,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1947,"ул. Петровская, д. 2",1940,Выборг,не указано,не указано,не указано,3,2,Кирпич,0.00,196.00,не указано,не указано,не указано
1948,"ул. Петровская, д. 4а",1940,Выборг,не указано,не указано,не указано,2,1,Кирпич,0.00,0.00,не указано,не указано,не указано
1949,"ул. Петровская, д. 4",1940,Выборг,не указано,не указано,не указано,2,2,Кирпич,0.00,84.90,не указано,не указано,не указано
1950,"ул. Петровская, д. 13",1940,Выборг,не указано,не указано,не указано,2,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1951,"пр-кт. Победы, д. 1",1970,Выборг,124,не указано,не указано,8,5,Кирпич,6 000.00,0.00,0.00,Не имеется,Отсутствует
1952,"пр-кт. Победы, д. 2",1969,Выборг,не указано,не указано,не указано,8,5,Монолитные,0.00,0.00,не указано,не указано,не указано
1953,"пр-кт. Победы, д. 3а",1982,Выборг,60,не указано,не указано,4,5,Блочные,0.00,0.00,не указано,Не имеется,Отсутствует
1954,"пр-кт. Победы, д. 4а",1991,Выборг,59,не указано,не указано,3,5,Панельные,2 677.70,0.00,0.00,Не имеется,Отсутствует
1955,"пр-кт. Победы, д. 4",1987,Выборг,не указано,не указано,не указано,4,5,Блочные,0.00,64.70,не указано,не указано,не указано
1956,"пр-кт. Победы, д. 5",1970,Выборг,90,не указано,не указано,6,5,Монолитные,18 586.25,366.00,1 276.91,Не имеется,Отсутствует
1957,"пр-кт. Победы, д. 6",1991,Выборг,36,1,1,1,9,Панельные,0.00,0.00,40.00,Не имеется,На лестничной клетке
1958,"пр-кт. Победы, д. 7",1970,Выборг,не указано,не указано,не указано,6,5,Блочные,0.00,63.55,не указано,не указано,не указано
1959,"пр-кт. Победы, д. 8",1991,Выборг,36,1,1,1,9,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
1960,"пр-кт. Победы, д. 9",1971,Выборг,не указано,не указано,не указано,8,5,Монолитные,0.00,1 277.20,не указано,не указано,не указано
1961,"пр-кт. Победы, д. 10",1991,Выборг,36,1,1,1,9,Блочные,0.00,0.00,не указано,Не имеется,На лестничной клетке
1962,"пр-кт. Победы, д. 12",1996,Выборг,128,4,4,4,9,Блочные,0.00,0.00,не указано,Есть,На лестничной клетке
1963,"пр-кт. Победы, д. 14",1999,Выборг,108,3,3,4,9,Монолитные,0.00,0.00,не указано,Не имеется,На лестничной клетке
1964,"пр-кт. Победы, д. 27",1989,Выборг,102,не указано,не указано,7,5,Монолитные,0.00,0.00,не указано,Не имеется,Отсутствует
1965,"пр-кт. Победы, д. 29",1988,Выборг,146,не указано,не указано,10,5,Панельные,0.00,64.80,100.00,Не имеется,Отсутствует
1966,"пр-кт. Победы, д. 31",1987,Выборг,60,не указано,не указано,4,5,Монолитные,0.00,0.00,не указано,Есть,Отсутствует
1967,"пр-кт. Победы, д. 31а",1987,Выборг,60,не указано,не указано,4,5,Монолитные,0.00,0.00,не указано,Есть,Отсутствует
1968,"пр-кт. Победы, д. 33",1986,Выборг,98,не указано,не указано,7,5,Монолитные,0.00,2.10,180.00,Не имеется,Отсутствует
1969,"пр-кт. Победы, д. 37",1985,Выборг,108,3,3,3,9,Панельные,0.00,0.00,130.00,Не имеется,На лестничной клетке
1970,"пр-кт. Победы, д. 39",1987,Выборг,не указано,не указано,не указано,6,5,Монолитные,0.00,449.40,не указано,не указано,не указано
1971,"ул. Пограничная, д. 4",1988,Выборг,не указано,не указано,4,4,7,Кирпич,0.00,326.27,не указано,не указано,не указано
1972,"мкр. Калининский, ул. Пограничная, д. 4",1940,Выборг,не указано,не указано,не указано,1,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1973,"ул. Подгорная, д. 6",1955,Выборг,не указано,не указано,не указано,3,5,Кирпич,0.00,276.99,не указано,не указано,не указано
1974,"ул. Подгорная, д. 10",1992,Выборг,10,не указано,не указано,1,3,Кирпич,473.00,425.09,0.00,Не имеется,Отсутствует
1975,"пл. Пожарная, д. 7",1940,Выборг,не указано,не указано,не указано,2,1,Деревянные,0.00,0.00,не указано,не указано,не указано
1976,"пер. Поперечный, д. 3",1940,Выборг,не указано,не указано,не указано,1,1,Деревянные,0.00,0.00,не указано,не указано,не указано
